,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Sex,0.0009538449865442348,-0.010195936880029016,0.013942564315661184,0.03758622692770251,-0.029268260227220986,-0.007947182089947304,-0.016853926142903725,0.020249814732286275,0.07773212823857716,0.15724137610590122
Age,-0.005609235906593589,0.03848998010228391,-0.042688677914099665,-0.01802174096091058,-0.017074861390218188,-0.027167805006086246,0.020576345851833877,-0.006603811860811354,-0.05222668643540754,-0.19686739268891973
Education,-0.018846661064790382,-0.012044221835439628,0.02040654250047169,-0.03750336592222647,-0.05017307135130317,-0.0008504923913148048,-0.0272684105597558,0.009816194698556553,0.023865405746228627,0.03191733751780332
INC_r1,-0.01234364982224534,-0.0509382742035156,-0.03594654314497761,0.27135895469731225,-0.17881918420188606,-0.05511157710840213,-0.09489132039247974,0.01727261886883831,-0.03897051100776823,-0.04612438348539814
INC_r2,-0.013996257308996257,-0.04816592155559618,-0.03843533042968955,0.27916389988444906,-0.1812378399674301,-0.05148118440801268,-0.10654129592790504,0.014677131562946422,-0.03385341439933823,-0.04131562042783282
INC_r3,-0.011992148808093475,-0.05248551716686978,-0.03474291946388316,0.2807140543476408,-0.17740470867188746,-0.05155199440630866,-0.0956472863420881,0.00016539200626790318,-0.009695483165750779,-0.017397126635437687
INC_r4,-0.015039177017528856,-0.04892995665143285,-0.039443771944239314,0.2708384483645384,-0.17774579029074572,-0.04545577414454055,-0.10554981389947266,0.035237722983079464,-0.03787293942542924,-0.053679948837023955
MEC_r1,0.0434579022130968,-0.09661774807955481,-0.01963760649835089,0.05660595098445745,-0.020995113047575786,-0.04329612673800495,0.2648417517221027,-0.004428539759095754,-0.05914349730166077,-0.08788403051216892
MEC_r2,0.03852168617175083,-0.0974178509314922,-0.03865594000302813,0.05954602892668026,-0.02913593911970136,-0.0251452015123986,0.32326920206698906,-0.055261120682448164,-0.07403584940803293,-0.10176556730281908
MEC_r3,-0.011224143681771236,-0.04369251011070074,-0.01571970265699575,0.02851687628413979,-0.012292400089525535,-0.01479071975589727,0.21977071236932766,-0.012979369460702495,-0.051736046014486226,-0.0934029411554563
MEC_r4,0.05986839386666943,-0.07076396936734966,0.048843272253723195,0.05815313086367588,-0.07696611621326413,0.004824214402991245,0.1963966528357508,-0.04315468247501869,0.008058870191072084,0.05872051692788649
VIS_r1,0.07719097290616246,0.12164811776616562,-0.05277607906516078,-0.03644436166144377,0.0042041727613832125,-0.12393212638899842,-0.08279684741157893,0.019143904185715932,0.09282223976415191,-0.005602087638510243
