loading C:\Users\Enzob\Desktop\Stage M2 Genève\Bizarreness\ElceRaw.xlsx
shape (3366, 136)
columns ['id_dream', 'Code', 'Sex', 'Age', 'Education', 'time_dream', 'txt_raw', 'txt_cleaned', 'INC_r1', 'INC_r2', 'INC_r3', 'INC_r4', 'MEC_r1', 'MEC_r2', 'MEC_r3', 'MEC_r4', 'VIS_r1', 'VIS_r2', 'VIS_r3', 'VIS_r4']
numeric columns 132
rows dropped due to NaNs 2562 -> 804

PCA results:
PC1: 0.2593 (cum 0.2593)
PC2: 0.0806 (cum 0.3398)
PC3: 0.0672 (cum 0.4070)
PC4: 0.0548 (cum 0.4618)
PC5: 0.0448 (cum 0.5066)
PC6: 0.0395 (cum 0.5462)
PC7: 0.0310 (cum 0.5772)
PC8: 0.0246 (cum 0.6018)
PC9: 0.0200 (cum 0.6218)
PC10: 0.0193 (cum 0.6411)
PC11: 0.0192 (cum 0.6603)
PC12: 0.0182 (cum 0.6785)
PC13: 0.0137 (cum 0.6922)
PC14: 0.0129 (cum 0.7051)
PC15: 0.0111 (cum 0.7162)
PC16: 0.0102 (cum 0.7264)
PC17: 0.0088 (cum 0.7353)
PC18: 0.0083 (cum 0.7436)
PC19: 0.0081 (cum 0.7517)
PC20: 0.0075 (cum 0.7592)
PC21: 0.0072 (cum 0.7664)
PC22: 0.0067 (cum 0.7731)
PC23: 0.0062 (cum 0.7794)
PC24: 0.0062 (cum 0.7855)
PC25: 0.0062 (cum 0.7917)
PC26: 0.0060 (cum 0.7976)
PC27: 0.0058 (cum 0.8034)
PC28: 0.0054 (cum 0.8089)
PC29: 0.0053 (cum 0.8141)
PC30: 0.0051 (cum 0.8193)
PC31: 0.0050 (cum 0.8243)
PC32: 0.0047 (cum 0.8290)
PC33: 0.0046 (cum 0.8336)
PC34: 0.0044 (cum 0.8380)
PC35: 0.0043 (cum 0.8424)
PC36: 0.0043 (cum 0.8466)
PC37: 0.0042 (cum 0.8508)
PC38: 0.0040 (cum 0.8549)
PC39: 0.0040 (cum 0.8588)
PC40: 0.0039 (cum 0.8627)
PC41: 0.0037 (cum 0.8665)
PC42: 0.0036 (cum 0.8701)
PC43: 0.0035 (cum 0.8736)
PC44: 0.0034 (cum 0.8770)
PC45: 0.0033 (cum 0.8804)
PC46: 0.0033 (cum 0.8836)
PC47: 0.0032 (cum 0.8868)
PC48: 0.0031 (cum 0.8898)
PC49: 0.0030 (cum 0.8929)
PC50: 0.0030 (cum 0.8958)
PC51: 0.0029 (cum 0.8987)
PC52: 0.0029 (cum 0.9016)
PC53: 0.0028 (cum 0.9044)
PC54: 0.0027 (cum 0.9071)
PC55: 0.0026 (cum 0.9098)
PC56: 0.0026 (cum 0.9124)
PC57: 0.0026 (cum 0.9150)
PC58: 0.0025 (cum 0.9175)
PC59: 0.0024 (cum 0.9200)
PC60: 0.0024 (cum 0.9223)
PC61: 0.0024 (cum 0.9247)
PC62: 0.0023 (cum 0.9270)
PC63: 0.0023 (cum 0.9293)
PC64: 0.0022 (cum 0.9315)
PC65: 0.0022 (cum 0.9337)
PC66: 0.0021 (cum 0.9358)
PC67: 0.0021 (cum 0.9378)
PC68: 0.0020 (cum 0.9399)
PC69: 0.0020 (cum 0.9419)
PC70: 0.0019 (cum 0.9438)
PC71: 0.0019 (cum 0.9457)
PC72: 0.0019 (cum 0.9476)
PC73: 0.0018 (cum 0.9495)
PC74: 0.0018 (cum 0.9513)
PC75: 0.0018 (cum 0.9530)
PC76: 0.0017 (cum 0.9548)
PC77: 0.0017 (cum 0.9564)
PC78: 0.0017 (cum 0.9581)
PC79: 0.0016 (cum 0.9597)
PC80: 0.0015 (cum 0.9612)
PC81: 0.0015 (cum 0.9627)
PC82: 0.0015 (cum 0.9642)
PC83: 0.0014 (cum 0.9656)
PC84: 0.0014 (cum 0.9670)
PC85: 0.0014 (cum 0.9684)
PC86: 0.0014 (cum 0.9698)
PC87: 0.0013 (cum 0.9711)
PC88: 0.0013 (cum 0.9724)
PC89: 0.0013 (cum 0.9737)
PC90: 0.0013 (cum 0.9750)
PC91: 0.0012 (cum 0.9762)
PC92: 0.0012 (cum 0.9774)
PC93: 0.0012 (cum 0.9786)
PC94: 0.0011 (cum 0.9798)
PC95: 0.0011 (cum 0.9809)
PC96: 0.0011 (cum 0.9820)
PC97: 0.0011 (cum 0.9830)
PC98: 0.0010 (cum 0.9841)
PC99: 0.0010 (cum 0.9851)
PC100: 0.0010 (cum 0.9861)
PC101: 0.0010 (cum 0.9870)
PC102: 0.0009 (cum 0.9879)
